,entry,dairy,spices,drinks,fruit,checkout
entry,0.0,0.28744123572867697,0.18132975151108127,0.1533915379449295,0.3773002014775017,0.0005372733378106112
dairy,0.0,0.7370226646420336,0.05134694336651482,0.05854563860300321,0.04977222878353298,0.10331252460491536
spices,0.0,0.19321439949028352,0.4021981522777955,0.163109270468302,0.09095253265371138,0.15052564510990762
drinks,0.0,0.010899742930591259,0.08699228791773779,0.598560411311054,0.08791773778920309,0.21562982005141387
fruit,0.0,0.09574384391471953,0.05066477853827393,0.054834395405554244,0.5971992762174495,0.20155770592400282
checkout,0.0,0.0,0.0,0.0,0.0,1.0
